psu_number,dist_name,hh_number,s03_code,q03_03
4030.0,Morang,6.0,112.0,0.0
4030.0,Morang,2.0,112.0,0.0
4030.0,Morang,3.0,112.0,0.0
4030.0,Morang,10.0,112.0,0.0
4031.0,Morang,9.0,112.0,3.0
4031.0,Morang,10.0,112.0,0.0
4031.0,Morang,11.0,112.0,2.0
4031.0,Morang,2.0,112.0,0.0
4031.0,Morang,1.0,112.0,2.0
4031.0,Morang,3.0,112.0,0.0
4031.0,Morang,5.0,112.0,3.0
4031.0,Morang,7.0,112.0,3.0
4031.0,Morang,8.0,112.0,3.0
4031.0,Morang,4.0,112.0,2.0
4031.0,Morang,12.0,112.0,2.0
4031.0,Morang,6.0,112.0,0.0
4032.0,Morang,1.0,112.0,2.0
4032.0,Morang,11.0,112.0,1.0
4032.0,Morang,4.0,112.0,4.0
4032.0,Morang,10.0,112.0,1.0
4032.0,Morang,8.0,112.0,2.0
4032.0,Morang,5.0,112.0,0.0
4032.0,Morang,2.0,112.0,2.0
4032.0,Morang,3.0,112.0,0.0
4032.0,Morang,6.0,112.0,1.0
4032.0,Morang,12.0,112.0,1.0
4032.0,Morang,9.0,112.0,0.0
4032.0,Morang,7.0,112.0,0.0
4033.0,Morang,1.0,112.0,0.0
4033.0,Morang,9.0,112.0,0.0
4033.0,Morang,2.0,112.0,0.0
4033.0,Morang,10.0,112.0,1.0
4033.0,Morang,12.0,112.0,0.0
4033.0,Morang,7.0,112.0,0.0
4033.0,Morang,8.0,112.0,0.0
4033.0,Morang,4.0,112.0,1.0
4033.0,Morang,11.0,112.0,1.0
4033.0,Morang,3.0,112.0,1.0
4033.0,Morang,5.0,112.0,0.0
4033.0,Morang,6.0,112.0,0.0
4034.0,Morang,9.0,112.0,0.0
4034.0,Morang,7.0,112.0,0.0
4034.0,Morang,2.0,112.0,0.0
4034.0,Morang,1.0,112.0,1.0
4034.0,Morang,4.0,112.0,0.0
4034.0,Morang,12.0,112.0,1.0
4034.0,Morang,5.0,112.0,0.0
4034.0,Morang,3.0,112.0,0.0
4034.0,Morang,6.0,112.0,0.0
4034.0,Morang,11.0,112.0,1.0
4034.0,Morang,8.0,112.0,0.0
4034.0,Morang,10.0,112.0,0.0
4035.0,Morang,1.0,112.0,0.0
4035.0,Morang,3.0,112.0,1.0
4035.0,Morang,5.0,112.0,1.0
4035.0,Morang,6.0,112.0,1.0
4035.0,Morang,11.0,112.0,0.0
4035.0,Morang,2.0,112.0,1.0
4035.0,Morang,9.0,112.0,0.0
4035.0,Morang,10.0,112.0,0.0
4035.0,Morang,12.0,112.0,0.0
4035.0,Morang,4.0,112.0,0.0
4035.0,Morang,7.0,112.0,1.0
4035.0,Morang,8.0,112.0,1.0
4036.0,Morang,10.0,112.0,0.0
4036.0,Morang,12.0,112.0,0.0
4036.0,Morang,4.0,112.0,0.0
4036.0,Morang,3.0,112.0,0.0
4036.0,Morang,9.0,112.0,0.0
4036.0,Morang,7.0,112.0,0.0
4036.0,Morang,2.0,112.0,0.0
4036.0,Morang,5.0,112.0,0.0
4036.0,Morang,6.0,112.0,0.0
4036.0,Morang,1.0,112.0,0.0
4036.0,Morang,8.0,112.0,0.0
4036.0,Morang,11.0,112.0,0.0
4037.0,Morang,8.0,112.0,0.0
4037.0,Morang,6.0,112.0,0.0
4037.0,Morang,7.0,112.0,0.0
4037.0,Morang,2.0,112.0,0.0
4037.0,Morang,10.0,112.0,0.0
4037.0,Morang,3.0,112.0,0.0
4037.0,Morang,5.0,112.0,0.0
4037.0,Morang,4.0,112.0,0.0
4037.0,Morang,12.0,112.0,0.0
4037.0,Morang,1.0,112.0,0.0
4037.0,Morang,11.0,112.0,0.0
4037.0,Morang,9.0,112.0,0.0
4038.0,Morang,5.0,112.0,0.0
4038.0,Morang,9.0,112.0,0.0
4038.0,Morang,10.0,112.0,0.0
4038.0,Morang,12.0,112.0,0.0
4038.0,Morang,11.0,112.0,0.0
4038.0,Morang,7.0,112.0,0.0
4038.0,Morang,6.0,112.0,0.0
4038.0,Morang,4.0,112.0,0.0
4038.0,Morang,2.0,112.0,0.0
4038.0,Morang,3.0,112.0,0.0
4038.0,Morang,8.0,112.0,0.0
4038.0,Morang,1.0,112.0,0.0
